just_unique,t_users,t_ment
slim404,0,19659
ooouups,0,13608
nawaat,0,11742
addthis,0,10521
psycke,0,10168
karim2k,0,10155
bylasko,0,9389
mehdilamloum,0,9118
riadheh,0,8510
judevlad,0,8034
mira404,0,7791
yassayari,0,7603
_zoneinterdite_,0,6794
radiomosaiquefm,0,6763
fhtagn_,0,6667
ka33boura,0,6645
welidnaffati,0,6453
sarah_bh,0,6118
majdikhan,0,6011
maramirou,0,5824
marwen,0,5602
benmhennilina,0,5489
slimazzabi,0,5221
jnayna,0,5085
azyyoz,0,5015
babnet_tunisie,0,4978
radioshemsfm,0,4925
arabasta1,0,4778
nihed,0,4710
webdo_tn,0,4663
zinga_,0,4645
sarah81m,0,4582
c_moii,0,4272
jasmintn,0,3959
ajarabic,0,3954
tunivisions,0,3903
sans_url,0,3804
indigo_light,0,3597
tunobs,0,3518
hsn_bayed,0,3485
midoxthegeek,0,3478
sahar841,0,3347
kaiseg,0,3344
takriz,0,3193
arouabensalah,0,3190
slimkhan,0,3160
yssems,0,3149
sameh_b,0,3125
nayzek,0,3082
missty125,0,3081
liliopatra,0,3002
eyaturki,0,2971
bap_jongup,0,2921
faiyla,0,2916
zizoo,0,2908
fradinet,0,2879
amal_haouet,0,2819
alarabiya_ar,0,2780
balhatn,0,2771
mw_a,0,2683
aliboulila,0,2672
houeida,0,2623
malekk,0,2593
ahlemhc,0,2574
tom_z,0,2517
chiheb12,0,2495
tunisienews2011,0,2491
al_pacino_,0,2481
zeinebturki,0,2445
orangetn,0,2442
chrisbrown,0,2433
slim0306,0,2417
khamousss,0,2401
may_mouna,0,2398
yamenbousrih,0,2372
ifikra,0,2316
blech_klem,0,2315
emnachebaane,0,2311
mehdim,0,2282
aida_safi,0,2277
bidules,0,2273
medalichebaane,0,2270
khalilbm,0,2183
_davidthomson,0,2174
tekiano,0,2149
hossbenaissa,0,2123
boukornineblog,0,2093
out__rage,0,2056
anissakal,0,2034
yhzami,0,2032
viagramoniak,0,2027
mounej,0,2026
maroo_king,0,2020
kiffegrave,0,2015
albawsalatn,0,2013
_minus__,0,1971
cherifabm,0,1934
bard_mechebek,0,1922
nizarus,0,1889
aerohana,0,1874
gfiras,0,1850
astrubaal,0,1837
karim_benamor,0,1837
moncef_marzouki,0,1818
gkaroui,0,1794
souihli,0,1754
massirdestin,0,1714
beheeddine,0,1707
koubaak,0,1694
404samitunis,0,1689
hamzovsky_,0,1687
ajenglish,0,1672
achourmoez,0,1672
chkfares,0,1668
arabicca1,0,1666
aloulouch,0,1659
__chicharito,0,1644
20minutes,0,1630
khaled_ouanes,0,1616
tunisiepress,0,1614
youtorr,0,1605
tunisie,0,1602
azyoz,0,1597
seifnechi,0,1590
afpfr,0,1583
myriii,0,1553
bulletskan,0,1550
tunisiana,0,1550
laminebelkhodja,0,1535
mounabenhalima,0,1526
fatenebh,0,1484
bfmtv,0,1468
myriouma,0,1456
sarhantn,0,1442
inestn,0,1415
ostezedgar,0,1410
actu_tunisie,0,1389
adel_0,0,1378
bugs_ahmed,0,1339
amalnasri,0,1329
amywebhouse,0,1320
snoby_tn,0,1314
lovejbordie,0,1304
alkanz,0,1299
waelbs,0,1292
rafik,0,1289
yssemsaadi,0,1285
chantalrebelle,0,1272
rymbn,0,1268
mehdifly,0,1261
tunisiatrends,0,1260
blackmisery,0,1248
moijemoije,0,1232
salamboo,0,1221
bsiliadel,0,1217
arabeman2012,0,1215
ati_tn,0,1211
borisboillon,0,1187
capitainhadock,0,1172
habibmhenni,0,1161
farkao,0,1156
nesrayne,0,1150
_babitch_,0,1142
tuniscope_,0,1141
sabysalvatore,0,1140
nefonline,0,1124
boukacheche_tn,0,1108
tunisiancityzen,0,1099
benmradnour,0,1098
emir,0,1092
m0ntassar,0,1089
after_ben_ali,0,1080
kapitalisinfo,0,1065
breakingnews,0,1064
morsichaari,0,1056
xyzied,0,1051
tunistwestival,0,1040
alarabiya_eng,0,1031
kais_be,0,1019
kaissellamy,0,1017
danielalumbroso,0,1014
wadhahjebri,0,1014
b4lh4,0,1013
_tunisietelecom,0,1001
afef_gh,0,1001
